Question,Answer
물뿌리개 업그레이드가 안돼요,교환이 안 되는 아이템을 손에 들고 /업데이트 를 하면 됩니다.
마을에 동물은 어떻게 데려가나요?,/상점 > 잡화상점 > 기타상점 에서 몬스터볼을 구매해서 야생에서 가축을 잡아서 마을에서 키우시면 됩니다. /위키 규칙 동물 수 제한을 참고해주세요.
발굴 무슨 블럭을 캐야 많이 오르나요?,/스킬 > 해당 스킬 > 돋보기 아이콘에서 자세한 경험치 획득법 및 경험치량을 볼 수 있습니다.
과성장 작물은 일반성장 끝난다음에 다시 성장하는건가요?,비료를 사용하지 않을 경우 커스텀 농작물이 완전히 성장할 때 1% 확률로 과성장 농작물이 나옵니다.
마을에 작물 설치하는 것도 한계가 있나요?,"바닐라 농작물은 한도가 없고, 커스텀 농작물은 청크당 64개의 설치 제한이 있습니다."
지옥 어떻게 가나요?,길라잡이 20단계를 클리어한 상태에서 야생에 지옥포탈을 열어 갈 수 있습니다.
피로도는 어떻게 채우나요?,"야생의 상자를 열때 피로도를 소모하며, 1분마다 피로도가 1씩 회복됩니다."
귓말 명령어가 뭔가요?,/msg 닉네임 할말 를 통해 귓속말을 보낼 수 있습니다.
종류별로 다른 비료들 중첩되나요?,"아니오, 마지막에 뿌린 비료의 효과만 적용되고 이전에 뿌린 비료의 효과는 사라집니다."
열쇠 어디서 사용하나요?,/보급상자 에서 손에 열쇠를 들고 열쇠에 해당하는 상자를 우클릭으로 열 수 있습니다.
청크는 9개로 한정되어 있나요?,"기본적으로 9청크까지 구매가 가능합니다. 길라잡이 45단계 이후, 대장장이 작업대 건축자재를 통해 청크를 늘릴 수 있으며 본인이 점유한 땅과 붙혀서 땅을 점유 할 수 있습니다."
마을 구성원 어떻게 내보내나요?,/마을 추방 닉네임 를 통해 내보낼 수 있습니다.
확성기 아이템 어떻게 얻나요?,/상점 > 잡화상점 > 기타 상점에서 구매 후 손에 확성기를 들고 /확성기 할말 를 하면 됩니다.
마을 유지비 로그아웃 상태에서도 나가나요?,현실 시간으로 매일 자정 마을 금고에서 자동으로 (청크x2500)코인 만큼의 마을 유지비가 빠져나갑니다. 마을 금고에 마을 유지비가 없으면 마지막으로 점유한 청크부터 부족한 유지비의 가격만큼 사라집니다.
물뿌리개 뿌려도 안젖는 땅이 있어요,리소스팩 오류로 실제로는 젖은 상태입니다. 화분을 부수고 손에 들고 /업데이트 후 다시 설치하시기 바랍니다.
레이드는 길라잡이를 깨야 갈 수 있는 건가요?,"네, 길라잡이 50단계 이후로 /레이드 를 통해 이용할 수 있습니다."
수박은 농작물에 포함이 안되나요?,"네, 일퀘 및 주간퀘 '작물 수확' 횟수에 커스텀 농작물과 수박, 호박, 사탕수수 등은 포함이 안되고 밀, 비트, 감자, 당근, 네더와트 등의 씨앗 작물만 포함 됩니다."
엔더월드 직접 포탈 찾아서 가야하나요?,길라잡이 60단계를 클리어한 상태에서 야생에서 엔더포탈을 찾아서 들어가면 됩니다.
가이아의 축복 농사스킬이 혹시 커스텀에도 적용되나요?,"아니오, 커스텀 농작물에는 농사스킬이 적용되지 않습니다."
바닐라 작물은 청크제한 없나요?,"네, 바닐라 농작물은 심을 수 있는 갯수 제한이 없습니다."
경매장에서 산 아이템 어디서 받나요?,경매장에 있는 '구입한 아이템' 항목에서 받을 수 있습니다.
엔트로피 얼마있는지 확인을 어떻게 하나요?,/fish entropy 를 통해 확인이 가능합니다.
엘베 블럭은 어디서 얻나요?,/위키 > 메인컨텐츠 > 편의기능 > 엘리베이터 를 참고 해주세요.
마을 최대 수용인원이 몇명인가요?,기본값은 25명입니다. /상점 > 후원상점 > 로얄젤리상점 에서 '마을 인원 확장권'을 구매 후 사용하면 최대 수용인원을 50명까지 확장이 가능합니다.
